Variable,Response,Variance explained,SD,Variable type
SST median,Max Size,14.18036241,2.32,Environmental
Depth,Max Size,45.62789718,0.26,Geomorphology
Dist seamount,Max Size,16.95111673,0.23,Geomorphology
Dist market,Max Size,12.32616941,0.34,Human pressure
Dist pop,Max Size,10.91445428,1.6,Human pressure
Dist CoralTri,Shark Abundance,12.00661294,0.42,Environmental
SST SD,Shark Abundance,9.030791486,0.32,Environmental
Chla median,Shark Abundance,14.54846043,0.07,Environmental
Dist coast,Shark Abundance,10.20872081,0.15,Geomorphology
Depth,Shark Abundance,13.10188055,0.15,Geomorphology
Dist seamount,Shark Abundance,12.17193635,0.44,Geomorphology
Dist market,Shark Abundance,20.43810705,0.43,Human pressure
Dist pop,Shark Abundance,8.493490391,0.15,Human pressure
Dist CoralTri,Species Richness,20.32155543,0.17,Environmental
SST median,Species Richness,17.98467003,0.13,Environmental
SST SD,Species Richness,11.08618433,0.32,Environmental
Dist coast,Species Richness,22.28453917,0.69,Geomorphology
Depth,Species Richness,18.09684053,0.49,Geomorphology
Dist seamount,Species Richness,10.22621051,0.45,Geomorphology